Groups,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,EUP
PPE,3,6,5,2,31,2,4,7,22,6,6,9,2,2,3,2,7,3,6,5,23,7,10,5,1,4,5,188
S&D,4,2,0,3,14,2,1,3,20,13,4,21,1,1,2,1,2,3,4,5,3,8,11,1,0,2,5,136
PfE,3,0,9,1,0,0,0,1,6,30,0,8,0,1,0,0,11,0,6,6,0,2,0,0,0,0,0,84
ECR,3,1,3,1,0,1,0,2,0,4,1,24,1,3,2,1,0,0,1,0,20,0,6,0,6,1,3,78
Renew,5,5,0,4,8,2,6,0,1,13,0,0,0,1,2,1,0,0,7,2,1,2,3,2,0,3,3,77
Verts/EFA,2,0,1,3,15,0,0,0,4,5,1,4,0,1,1,1,0,0,6,2,0,0,1,1,0,2,3,53
The Left,2,0,0,1,4,0,3,4,4,9,0,10,1,0,0,0,0,0,1,0,0,2,0,0,0,3,2,46
ESN,0,3,1,0,14,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,0,0,0,1,0,0,25
NI,0,0,2,0,10,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,7,0,0,32
Vacant,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total,22,17,21,15,96,7,14,21,61,81,12,76,6,9,11,6,21,6,31,20,53,21,33,9,15,15,21,720
European Commission,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27
Council of the EU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27
